train_task,test_task,diff
mixed,mem,-0.02375000000000005
mixed,motor,-0.03437500000000005
motor,mem,0.01625
motor,mixed,0.10249999999999997
mem,mixed,0.020624999999999984
mem,motor,0.06187500000000003
mixed,mem,0.010625000000000023
mixed,motor,-0.06374999999999997
motor,mem,0.03124999999999998
motor,mixed,0.02625000000000001
mem,mixed,-0.004375000000000014
mem,motor,-0.03499999999999999
mixed,mem,-0.019999999999999997
mixed,motor,-0.024999999999999988
motor,mem,0.056875
motor,mixed,-0.02687500000000001
mem,mixed,0.06749999999999995
mem,motor,0.033125000000000016
mixed,mem,0.004375000000000018
mixed,motor,0.02312500000000002
motor,mem,-0.030625000000000006
