Network,task,train,diff_sub,feature,mu,std,z_score
visual,motor,MSC04,0.9092857142857144,8736,0.9656739130434794,0.00975670105613689,-5.779432867044468
visual,motor,MSC05,0.6928571428571428,8736,0.7644057971014492,0.031990559541314856,-2.2365552609951505
visual,motor,MSC06,0.7821428571428571,8736,0.7988329336530772,0.030432426141114535,-0.5484306914219882
visual,motor,MSC07,0.6292857142857143,8736,0.8668345323741004,0.023677207518396262,-10.032805511537621
visual,motor,MSC10,0.8878571428571429,8736,0.8706014492753619,0.021298480156589653,0.8101842692490053
default,motor,MSC01,0.8607142857142858,10824,0.9137971014492762,0.01705809719425271,-3.1118837658443703
default,motor,MSC02,0.62,10824,0.5801304347826094,0.015629269936296698,2.5509550593146617
default,motor,MSC03,0.8421428571428572,10824,0.8419637681159418,0.025628938220545603,0.006987766148340379
default,motor,MSC04,0.9078571428571428,10824,0.9668550724637694,0.008872942581018992,-6.649195469024569
default,motor,MSC05,0.645,10824,0.7671304347826083,0.022820310734392276,-5.351830490132051
default,motor,MSC06,0.6807142857142857,10824,0.8006554756195046,0.02806382985327649,-4.273871047975141
default,motor,MSC07,0.8307142857142857,10824,0.8690407673860909,0.021688801882204036,-1.767109215159211
default,motor,MSC10,0.9257142857142856,10824,0.8718405797101453,0.01861315048117875,2.8943894295926067
unassign,motor,MSC01,0.5735714285714286,14808,0.9171884057971024,0.01270360228328693,-27.048782665192686
unassign,motor,MSC02,0.5457142857142857,14808,0.5791159420289863,0.013263799070531735,-2.518257109979091
unassign,motor,MSC03,0.6885714285714285,14808,0.8459782608695647,0.02359415159854248,-6.671434301874197
unassign,motor,MSC04,0.7721428571428571,14808,0.9690000000000012,0.007969736792234632,-24.700582715473512
unassign,motor,MSC05,0.6028571428571429,14808,0.7684275362318838,0.02334871187019222,-7.091200332388093
unassign,motor,MSC06,0.5864285714285714,14808,0.8001278976818541,0.02317321753703604,-9.221823681227816
unassign,motor,MSC07,0.5857142857142857,14808,0.8708792965627498,0.017623859977624088,-16.180621680524027
unassign,motor,MSC10,0.6014285714285714,14808,0.8720797101449281,0.016887010673422884,-16.027178755936532
pon,semantic,MSC01,0.6578571428571428,21,0.5988071428571429,0.05721253462955825,1.0321164825564708
pon,semantic,MSC02,0.5835714285714286,21,0.5889571428571427,0.06535848688483131,-0.08240267702654
pon,semantic,MSC03,0.5871428571428572,21,0.5834714285714288,0.048187090293933206,0.07619112399261577
pon,semantic,MSC04,0.6342857142857143,21,0.6010285714285716,0.06106391310938118,0.5446284255902608
pon,semantic,MSC05,0.6128571428571429,21,0.5843642857142857,0.0708198371951122,0.40232875803368423
pon,semantic,MSC06,0.6878571428571428,21,0.5852428571428571,0.06011509095033473,1.7069638270873213
pon,semantic,MSC07,0.6957142857142857,21,0.5904285714285714,0.05661352959905574,1.8597270834615192
pon,semantic,MSC10,0.6278571428571429,21,0.5813357142857142,0.0599830470621391,0.7755762811321523
pmn,semantic,MSC01,0.5357142857142857,45,0.6088357142857143,0.05753756671235518,-1.2708467310927665
pmn,semantic,MSC02,0.5535714285714286,45,0.5928500000000001,0.05766299127491187,-0.6811747111992246
pmn,semantic,MSC03,0.5549999999999999,45,0.5856642857142857,0.054869107848435815,-0.5588624804870046
pmn,semantic,MSC04,0.59,45,0.6251,0.060504988541648944,-0.5801174555357322
pmn,semantic,MSC05,0.5564285714285714,45,0.593028571428571,0.056428536723462736,-0.6486079938482884
pmn,semantic,MSC06,0.6685714285714286,45,0.6153285714285716,0.06319879763957557,0.8424662989081291
pmn,semantic,MSC07,0.6,45,0.6043357142857142,0.052177611517601225,-0.08309530006469616
pmn,semantic,MSC10,0.6128571428571429,45,0.5989785714285714,0.0603603771429521,0.22992850749926155
sm-lat,semantic,MSC01,0.5685714285714286,316,0.7142714285714284,0.047875713051888404,-3.0432967095881795
sm-lat,semantic,MSC02,0.5642857142857143,316,0.5929714285714285,0.05498305805292166,-0.5217191495260951
sm-lat,semantic,MSC03,0.5185714285714286,316,0.5580142857142856,0.041102937283223465,-0.9596116421333217
sm-lat,semantic,MSC04,0.59,316,0.7031285714285712,0.07098199358801588,-1.5937643578338594
sm-lat,semantic,MSC05,0.5185714285714286,316,0.7107642857142854,0.05625457263990523,-3.41648417406199
sm-lat,semantic,MSC06,0.5464285714285715,316,0.7221285714285713,0.05712454432390304,-3.0757356943411174
sm-lat,semantic,MSC07,0.5214285714285715,316,0.5765000000000001,0.04729102388416186,-1.1645218066397693
sm-lat,semantic,MSC10,0.555,316,0.6909357142857145,0.05671463783098808,-2.39683650437491
salience,semantic,MSC01,0.7264285714285714,494,0.7221285714285715,0.05349542275388986,0.08038070882779033
