,train,task,same_sub,diff_sub,Network_A,Network_B
0,MSC01,semantic,0.7,0.48714285714285716,pmn,pmn
0,MSC02,semantic,0.7,0.5142857142857142,pmn,pmn
0,MSC03,semantic,0.75,0.5257142857142857,pmn,pmn
0,MSC04,semantic,0.95,0.5592857142857143,pmn,pmn
0,MSC05,semantic,0.9,0.5442857142857143,pmn,pmn
0,MSC06,semantic,0.85,0.5707142857142857,pmn,pmn
0,MSC07,semantic,0.85,0.5328571428571428,pmn,pmn
0,MSC10,semantic,0.95,0.5614285714285714,pmn,pmn
0,MSC01,glass,0.7,0.5309352517985612,pmn,pmn
0,MSC02,glass,0.65,0.5884892086330935,pmn,pmn
0,MSC03,glass,0.7,0.48561151079136694,pmn,pmn
0,MSC04,glass,0.9,0.5460431654676259,pmn,pmn
0,MSC05,glass,0.85,0.5460431654676259,pmn,pmn
0,MSC06,glass,0.8888888888888888,0.5238095238095238,pmn,pmn
0,MSC07,glass,0.7,0.5539568345323741,pmn,pmn
0,MSC10,glass,0.8,0.5719424460431655,pmn,pmn
0,MSC01,motor,0.75,0.49492753623188407,pmn,pmn
0,MSC02,motor,0.9,0.6086956521739131,pmn,pmn
0,MSC03,motor,0.85,0.45869565217391306,pmn,pmn
0,MSC04,motor,0.85,0.591304347826087,pmn,pmn
0,MSC05,motor,0.85,0.5463768115942029,pmn,pmn
0,MSC06,motor,0.8888888888888888,0.6370903277378097,pmn,pmn
0,MSC07,motor,0.7777777777777778,0.5827338129496403,pmn,pmn
0,MSC10,motor,1.0,0.5985507246376812,pmn,pmn
0,MSC01,mem,0.8,0.572463768115942,pmn,pmn
0,MSC02,mem,0.6,0.5072463768115942,pmn,pmn
0,MSC03,mem,0.6875,0.51875,pmn,pmn
0,MSC04,mem,0.85,0.5333333333333333,pmn,pmn
0,MSC05,mem,0.85,0.5318840579710145,pmn,pmn
0,MSC06,mem,0.7,0.4956521739130435,pmn,pmn
0,MSC07,mem,0.7,0.5239130434782608,pmn,pmn
0,MSC10,mem,0.75,0.5391304347826087,pmn,pmn
0,MSC01,semantic,0.75,0.6578571428571428,pon,pon
0,MSC02,semantic,0.75,0.5835714285714286,pon,pon
0,MSC03,semantic,0.75,0.5871428571428572,pon,pon
0,MSC04,semantic,0.95,0.6342857142857143,pon,pon
0,MSC05,semantic,0.9,0.6128571428571429,pon,pon
0,MSC06,semantic,0.7,0.6878571428571428,pon,pon
0,MSC07,semantic,0.7,0.6957142857142857,pon,pon
0,MSC10,semantic,0.75,0.6278571428571429,pon,pon
0,MSC01,glass,0.85,0.6158273381294964,pon,pon
0,MSC02,glass,0.85,0.4985611510791367,pon,pon
0,MSC03,glass,0.8,0.579136690647482,pon,pon
0,MSC04,glass,0.85,0.6028776978417266,pon,pon
0,MSC05,glass,0.7,0.5424460431654676,pon,pon
0,MSC06,glass,0.7222222222222222,0.6476190476190476,pon,pon
0,MSC07,glass,0.7,0.6330935251798561,pon,pon
0,MSC10,glass,0.7,0.5820143884892086,pon,pon
0,MSC01,motor,0.9,0.596376811594203,pon,pon
0,MSC02,motor,0.65,0.5608695652173913,pon,pon
0,MSC03,motor,0.75,0.5427536231884058,pon,pon
0,MSC04,motor,0.8,0.4934782608695652,pon,pon
0,MSC05,motor,0.45,0.5528985507246377,pon,pon
0,MSC06,motor,0.8333333333333334,0.5499600319744204,pon,pon
0,MSC07,motor,0.7222222222222222,0.6131095123900879,pon,pon
0,MSC10,motor,0.45,0.49420289855072463,pon,pon
0,MSC01,mem,0.8,0.4688405797101449,pon,pon
0,MSC02,mem,0.8,0.4789855072463768,pon,pon
0,MSC03,mem,0.75,0.44821428571428573,pon,pon
0,MSC04,mem,0.65,0.4963768115942029,pon,pon
0,MSC05,mem,0.55,0.5050724637681159,pon,pon
0,MSC06,mem,0.75,0.4971014492753623,pon,pon
0,MSC07,mem,0.4,0.46739130434782605,pon,pon
0,MSC10,mem,0.65,0.5007246376811594,pon,pon
