,train_task,test_task,sub,acc,Features
9,motor,mem,MSC02,0.5,400
10,mem,mixed,MSC02,0.7250000000000001,400
11,mem,motor,MSC02,0.6500000000000001,400
12,mixed,motor,MSC03,1.0,400
13,mixed,mem,MSC03,0.74,400
14,motor,mixed,MSC03,0.525,400
15,motor,mem,MSC03,0.615,400
16,mem,mixed,MSC03,0.565,400
17,mem,motor,MSC03,0.92,400
18,mixed,motor,MSC04,0.95,400
19,mixed,mem,MSC04,0.985,400
20,motor,mixed,MSC04,0.665,400
21,motor,mem,MSC04,0.6950000000000001,400
22,mem,mixed,MSC04,0.905,400
23,mem,motor,MSC04,0.925,400
24,mixed,motor,MSC05,0.9549999999999998,400
25,mixed,mem,MSC05,1.0,400
26,motor,mixed,MSC05,0.6300000000000001,400
27,motor,mem,MSC05,0.845,400
28,mem,mixed,MSC05,0.7949999999999999,400
29,mem,motor,MSC05,0.905,400
30,mixed,motor,MSC06,0.96,400
31,mixed,mem,MSC06,1.0,400
32,motor,mixed,MSC06,0.665,400
33,motor,mem,MSC06,0.75,400
34,mem,mixed,MSC06,0.7749999999999999,400
35,mem,motor,MSC06,0.95,400
36,mixed,motor,MSC07,0.85,400
37,mixed,mem,MSC07,0.945,400
38,motor,mixed,MSC07,0.565,400
39,motor,mem,MSC07,0.5349999999999999,400
40,mem,mixed,MSC07,0.94,400
41,mem,motor,MSC07,0.8400000000000001,400
42,mixed,motor,MSC10,0.995,400
43,mixed,mem,MSC10,0.965,400
44,motor,mixed,MSC10,0.565,400
45,motor,mem,MSC10,0.6449999999999999,400
46,mem,mixed,MSC10,0.82,400
47,mem,motor,MSC10,0.91,400
0,mixed,motor,MSC01,0.99,500
1,mixed,mem,MSC01,0.8299999999999998,500
2,motor,mixed,MSC01,0.7749999999999999,500
3,motor,mem,MSC01,0.6900000000000001,500
