train_task,test_task,sub,acc,features
semantic,glass,MSC06,0.7722222222222221,32489
semantic,motor,MSC06,0.7,32489
semantic,mem,MSC06,0.9400000000000001,32489
glass,semantic,MSC06,0.8555555555555554,32489
glass,motor,MSC06,0.7666666666666666,32489
glass,mem,MSC06,0.9111111111111112,32489
motor,semantic,MSC06,0.7949999999999999,32489
motor,glass,MSC06,0.5666666666666667,32489
motor,mem,MSC06,0.8150000000000001,32489
mem,semantic,MSC06,0.9800000000000001,32489
mem,glass,MSC06,0.8833333333333335,32489
mem,motor,MSC06,0.9800000000000001,32489
semantic,glass,MSC07,0.95,32489
semantic,motor,MSC07,0.5499999999999999,32489
semantic,mem,MSC07,0.655,32489
